0.4575,-0.2762,0.0155,-0.264,-0.2758,-0.0087,0.185,0.1559,0.0466,0.0538,-0.0897
-0.2762,0.9427,-0.0625,-0.1533,-0.1571,-0.0703,-0.0074,-0.0169,-0.0524,-0.05,-0.0966
0.0155,-0.0625,0.9754,-0.0651,-0.0626,-0.1194,-0.1607,-0.1545,-0.1312,-0.1327,-0.1022
-0.264,-0.1533,-0.0651,0.9504,-0.1531,-0.0724,-0.0139,-0.0227,-0.0557,-0.0535,-0.0969
-0.2758,-0.1571,-0.0626,-0.1531,0.9431,-0.0704,-0.0077,-0.0171,-0.0525,-0.0502,-0.0967
-0.0087,-0.0703,-0.1194,-0.0724,-0.0704,0.9846,-0.148,-0.1431,-0.1247,-0.1259,-0.1017
0.185,-0.0074,-0.1607,-0.0139,-0.0077,-0.148,0.8503,-0.2344,-0.177,-0.1808,-0.1054
0.1559,-0.0169,-0.1545,-0.0227,-0.0171,-0.1431,-0.2344,0.8793,-0.1692,-0.1725,-0.1049
0.0466,-0.0524,-0.1312,-0.0557,-0.0525,-0.1247,-0.177,-0.1692,0.9604,-0.1416,-0.1028
0.0538,-0.05,-0.1327,-0.0535,-0.0502,-0.1259,-0.1808,-0.1725,-0.1416,0.9564,-0.1029
-0.0897,-0.0966,-0.1022,-0.0969,-0.0967,-0.1017,-0.1054,-0.1049,-0.1028,-0.1029,0.9998
