-0.3272,1.6057,-1.4076,1.105,0.0886,-0.2768,1.1202,-1.4259,0.8916,-0.7111,-0.6626
1.6517,-0.0769,-0.9616,1.434,-0.6097,1.4496,-1.3432,-0.1199,-0.929,-0.31,-0.185
0.2489,-0.0685,-0.8735,-0.1094,-1.327,-0.719,-0.1241,-0.9858,0.2822,1.6702,2.006
-1.8468,0.5465,-0.9476,0.436,1.228,0.6137,-0.1301,0.4221,-1.7255,0.4185,0.985
1.0862,0.6363,0.7291,-0.1156,0.2647,-0.8725,0.9505,-0.8231,-2.0522,1.1536,-0.957
0.3648,0.0025,0.1889,0.1011,-1.1714,-0.2317,1.5944,0.7106,-1.0216,-1.875,1.3374
0.2893,0.8693,1.2784,-0.6224,0.9098,0.2075,-1.1402,-1.7678,-0.098,-1.1525,1.2268
1.5064,-0.2022,-1.7755,-1.4362,1.6156,-0.5383,0.1856,0.5045,0.1286,-0.3614,0.3728
-0.1156,1.5185,-0.274,-1.9978,-1.1214,1.7245,0.2115,0.2184,-0.0617,0.3239,-0.4263
0.1134,1.8987,0.0662,0.2359,-0.4625,-1.6753,-1.4435,1.4807,-0.0145,-0.1521,-0.047
