19925.5372,17888.9835,17048.7603,12027.1653,7358.9669,5228.0579,-367.3884,-4590.3058,-10287.6033,-13523.2727
17888.9835,16815.6033,15710.4298,11906.7851,8261.7521,5663.7521,1240.405,-2353.3388,-7511.7521,-10862.4545
17048.7603,15710.4298,16701.8678,13241.0661,9920.5868,8953.6777,4319.1901,157.314,-5192.314,-8345.7273
12027.1653,11906.7851,13241.0661,11988.5124,10493.4793,9427.0248,6868.1322,3621.843,-316.6612,-3252.3636
7358.9669,8261.7521,9920.5868,10493.4793,10874.4132,10221.1405,9459.5372,7079.7769,4507.7686,2129.2727
5228.0579,5663.7521,8953.6777,9427.0248,10221.1405,12554.9587,11470.3554,9649.686,7345.2231,5875.2727
-367.3884,1240.405,4319.1901,6868.1322,9459.5372,11470.3554,12932.1983,11973.4463,11523.281,10576.8182
-4590.3058,-2353.3388,157.314,3621.843,7079.7769,9649.686,11973.4463,13092.7769,13753.5868,13313.1818
-10287.6033,-7511.7521,-5192.314,-316.6612,4507.7686,7345.2231,11523.281,13753.5868,16386.9587,16810.8182
-13523.2727,-10862.4545,-8345.7273,-3252.3636,2129.2727,5875.2727,10576.8182,13313.1818,16810.8182,18536.5455
