0.3009,-0.2629,-0.068,-0.2011,0.1834,-0.1305,0.1082,0.2822,-0.153,-0.1081
-0.2629,0.3123,-0.1024,0.2021,-0.1988,0.2075,-0.0532,-0.2508,0.112,0.0448
-0.068,-0.1024,0.4917,-0.0289,0.0313,-0.2374,-0.1537,-0.1038,0.138,0.2139
-0.2011,0.2021,-0.0289,0.429,-0.2673,0.1109,-0.1574,-0.3143,0.1539,0.2047
0.1834,-0.1988,0.0313,-0.2673,0.2267,-0.116,0.0742,0.2276,-0.1161,-0.105
-0.1305,0.2075,-0.2374,0.1109,-0.116,0.2467,0.0084,-0.1198,0.0276,-0.0682
0.1082,-0.0532,-0.1537,-0.1574,0.0742,0.0084,0.1745,0.1765,-0.1285,-0.1678
0.2822,-0.2508,-0.1038,-0.3143,0.2276,-0.1198,0.1765,0.4183,-0.2403,-0.2117
-0.153,0.112,0.138,0.1539,-0.1161,0.0276,-0.1285,-0.2403,0.1943,0.1207
-0.1081,0.0448,0.2139,0.2047,-0.105,-0.0682,-0.1678,-0.2117,0.1207,0.2559
